Date,Open,High,Low,Close,Adj Close,Volume,avg
2010-06-29,19.0,25.0,17.540001,23.889999,23.889999,18766300,21.3575
2010-06-30,25.790001,30.42,23.299999,23.83,23.83,17187100,25.835
2010-07-01,25.0,25.92,20.27,21.959999,21.959999,8218800,23.28749975
2010-07-02,23.0,23.1,18.709999,19.200001,19.200001,5139800,21.0025
2010-07-06,20.0,20.0,15.83,16.110001,16.110001,6866900,17.98500025
2010-07-07,16.4,16.629999,14.98,15.8,15.8,6921700,15.95249975
2010-07-08,16.139999,17.52,15.57,17.459999,17.459999,7711400,16.6724995
2010-07-09,17.58,17.9,16.549999,17.4,17.4,4050600,17.35749975
2010-07-12,17.950001,18.07,17.0,17.049999,17.049999,2202500,17.5175
2010-07-13,17.389999,18.639999,16.9,18.139999,18.139999,2680100,17.76749925
2010-07-14,17.940001,20.15,17.76,19.84,19.84,4195200,18.92250025
2010-07-15,19.940001,21.5,19.0,19.889999,19.889999,3739800,20.0825
2010-07-16,20.700001,21.299999,20.049999,20.639999,20.639999,2621300,20.6724995
2010-07-19,21.370001,22.25,20.92,21.91,21.91,2486500,21.61250025
2010-07-20,21.85,21.85,20.049999,20.299999,20.299999,1825300,21.0124995
2010-07-21,20.66,20.9,19.5,20.219999,20.219999,1252500,20.31999975
2010-07-22,20.5,21.25,20.370001,21.0,21.0,957800,20.78000025
2010-07-23,21.190001,21.559999,21.059999,21.290001,21.290001,653600,21.275
2010-07-26,21.5,21.5,20.299999,20.950001,20.950001,922200,21.0625
2010-07-27,20.91,21.18,20.26,20.549999,20.549999,619700,20.72499975
2010-07-28,20.549999,20.9,20.51,20.719999,20.719999,467200,20.6699995
2010-07-29,20.77,20.879999,20.0,20.35,20.35,616000,20.49999975
2010-07-30,20.200001,20.440001,19.549999,19.940001,19.940001,426900,20.0325005
2010-08-02,20.5,20.969999,20.33,20.92,20.92,718100,20.67999975
2010-08-03,21.0,21.950001,20.82,21.950001,21.950001,1230500,21.4300005
2010-08-04,21.950001,22.18,20.85,21.26,21.26,913000,21.56000025
2010-08-05,21.540001,21.549999,20.049999,20.450001,20.450001,796200,20.8975
2010-08-06,20.1,20.16,19.52,19.59,19.59,741900,19.8425
2010-08-09,19.9,19.98,19.450001,19.6,19.6,812700,19.73250025
2010-08-10,19.65,19.65,18.82,19.030001,19.030001,1281300,19.28750025
2010-08-11,18.690001,18.879999,17.85,17.9,17.9,797600,18.33
2010-08-12,17.799999,17.9,17.389999,17.6,17.6,691000,17.6724995
2010-08-13,18.18,18.450001,17.66,18.32,18.32,634000,18.15250025
2010-08-16,18.450001,18.799999,18.26,18.780001,18.780001,485800,18.57250025
2010-08-17,18.959999,19.4,18.780001,19.15,19.15,447900,19.0725
2010-08-18,19.59,19.59,18.6,18.77,18.77,601300,19.1375
2010-08-19,18.540001,19.25,18.33,18.790001,18.790001,579100,18.7275005
2010-08-20,18.65,19.110001,18.51,19.1,19.1,296000,18.84250025
2010-08-23,19.09,20.389999,19.0,20.129999,20.129999,1088100,19.6524995
2010-08-24,19.25,19.709999,18.950001,19.200001,19.200001,673100,19.27750025
2010-08-25,19.16,19.98,18.559999,19.9,19.9,503300,19.39999975
2010-08-26,19.889999,20.27,19.6,19.75,19.75,433800,19.87749975
2010-08-27,19.75,19.870001,19.5,19.700001,19.700001,379600,19.7050005
2010-08-30,19.700001,20.190001,19.610001,19.870001,19.870001,732800,19.842501
2010-08-31,19.66,19.790001,19.33,19.48,19.48,201100,19.56500025
2010-09-01,19.620001,20.690001,19.6,20.450001,20.450001,494900,20.09000075
2010-09-02,20.370001,21.24,20.309999,21.059999,21.059999,487100,20.74499975
2010-09-03,20.870001,21.299999,20.66,21.049999,21.049999,434600,20.96999975
2010-09-07,20.610001,21.0,20.5,20.540001,20.540001,243400,20.6625005
2010-09-08,20.66,20.950001,20.6,20.9,20.9,288400,20.77750025
2010-09-09,21.0,21.049999,20.690001,20.709999,20.709999,376200,20.86249975
2010-09-10,20.75,20.93,19.76,20.17,20.17,386600,20.4025
2010-09-13,20.889999,20.9,20.5,20.719999,20.719999,360800,20.7524995
2010-09-14,20.540001,21.6,20.530001,21.120001,21.120001,654700,20.94750075
2010-09-15,20.98,22.0,20.790001,21.98,21.98,684600,21.43750025
2010-09-16,22.15,23.16,20.84,20.940001,20.940001,2684500,21.77250025
2010-09-17,21.02,21.32,19.799999,20.23,20.23,1198500,20.59249975
2010-09-20,20.67,21.35,20.16,21.059999,21.059999,947500,20.80999975
2010-09-21,20.889999,21.549999,20.67,20.77,20.77,796000,20.9699995
2010-09-22,20.870001,20.950001,19.799999,19.870001,19.870001,962900,20.3725005
2010-09-23,19.889999,20.139999,19.5,19.559999,19.559999,668100,19.77249925
2010-09-24,19.950001,20.190001,19.65,20.1,20.1,578900,19.9725005
